date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-08-14,29,10,0.0,11.6,5,12,03:14 AM,05:54 PM,06:12 AM,07:58 PM,1,19,18,19,16,9,36,0.0,1015,29,10,203,10,80401
2012-08-15,29,13,0.0,11.6,5,5,04:14 AM,06:31 PM,06:13 AM,07:56 PM,0,20,19,20,20,11,32,1.3,1013,29,10,196,12,80401
2012-08-16,23,10,0.0,11.6,4,0,05:17 AM,07:06 PM,06:14 AM,07:55 PM,9,16,17,16,10,21,66,1.6,1019,23,10,81,7,80401
2012-08-17,27,9,0.0,11.6,5,0,06:21 AM,07:39 PM,06:15 AM,07:54 PM,4,18,18,18,14,8,46,0.3,1017,27,10,161,9,80401
2012-08-18,23,10,0.0,11.6,5,2,07:27 AM,08:10 PM,06:16 AM,07:52 PM,5,16,17,16,16,5,51,0.2,1017,23,10,160,10,80401
2012-08-19,25,8,0.0,11.6,5,10,08:34 AM,08:41 PM,06:17 AM,07:51 PM,2,16,16,16,13,7,44,0.0,1018,25,10,157,8,80401
2012-08-20,23,11,0.0,11.6,5,17,09:42 AM,09:15 PM,06:18 AM,07:50 PM,2,17,17,17,14,20,39,0.1,1015,23,10,175,8,80401
2012-08-21,26,10,0.0,11.6,5,24,10:51 AM,09:51 PM,06:19 AM,07:48 PM,3,18,18,18,16,10,37,0.0,1016,26,10,188,10,80401
2012-08-22,26,15,0.0,10.4,5,32,12:01 PM,10:30 PM,06:20 AM,07:47 PM,5,19,20,19,17,35,39,2.1,1013,26,10,263,10,80401
2012-08-23,23,12,0.0,11.6,5,39,01:10 PM,11:17 PM,06:21 AM,07:45 PM,11,18,18,18,12,26,66,3.2,1013,23,10,227,7,80401
2012-08-24,25,13,0.0,11.6,5,46,02:16 PM,No moonset,06:22 AM,07:44 PM,8,19,19,19,13,23,55,1.1,1010,25,10,205,7,80401
2012-08-25,24,11,0.0,11.6,5,53,03:18 PM,12:09 AM,06:23 AM,07:42 PM,4,16,17,16,22,3,43,0.1,1014,24,10,170,13,80401
2012-08-26,28,12,0.0,11.6,5,61,04:12 PM,01:08 AM,06:24 AM,07:41 PM,2,19,19,19,18,10,37,0.0,1016,28,10,165,11,80401
2012-08-27,29,14,0.0,11.6,6,68,05:00 PM,02:12 AM,06:25 AM,07:39 PM,5,20,20,20,20,14,39,0.4,1020,29,10,203,12,80401
2012-08-28,29,14,0.0,11.6,6,75,05:42 PM,03:19 AM,06:26 AM,07:38 PM,6,21,21,21,17,12,40,0.9,1019,29,10,186,10,80401
2012-08-29,29,15,0.0,11.6,6,82,06:18 PM,04:26 AM,06:26 AM,07:36 PM,8,21,21,21,15,16,44,1.7,1016,29,10,169,8,80401
2012-08-30,28,14,0.0,11.6,6,90,06:50 PM,05:32 AM,06:27 AM,07:35 PM,9,21,21,21,18,18,49,2.4,1014,28,10,230,11,80401
2012-08-31,27,13,0.0,11.6,5,94,07:21 PM,06:37 AM,06:28 AM,07:33 PM,7,20,19,20,17,12,48,1.3,1016,27,10,172,11,80401
2012-09-01,28,13,0.0,11.6,5,100,07:50 PM,07:40 AM,06:29 AM,07:31 PM,6,20,20,20,15,22,42,1.2,1016,28,10,208,8,80401
2012-09-02,28,14,0.0,11.6,6,84,08:19 PM,08:41 AM,06:30 AM,07:30 PM,6,20,20,20,17,22,43,0.0,1016,28,10,184,10,80401
2012-09-03,27,12,0.0,11.6,5,77,08:49 PM,09:42 AM,06:31 AM,07:28 PM,3,19,19,19,13,9,39,0.1,1017,27,10,284,8,80401
2012-09-04,25,12,0.0,11.6,5,69,09:22 PM,10:41 AM,06:32 AM,07:27 PM,-0,15,16,15,26,1,34,0.0,1017,25,10,273,13,80401
2012-09-05,24,8,0.0,11.6,4,62,09:57 PM,11:39 AM,06:33 AM,07:25 PM,-1,14,14,14,16,3,36,0.0,1018,24,10,144,9,80401
2012-09-06,27,11,0.0,11.6,5,54,10:36 PM,12:34 PM,06:34 AM,07:24 PM,-6,18,18,18,16,15,20,0.0,1015,27,10,211,9,80401
2012-09-07,20,8,0.0,11.6,4,46,11:21 PM,01:28 PM,06:35 AM,07:22 PM,4,14,14,14,13,19,55,0.7,1021,20,10,101,8,80401
2012-09-08,22,6,0.0,11.6,4,39,No moonrise,02:18 PM,06:36 AM,07:20 PM,3,14,14,14,9,5,56,0.0,1024,22,10,164,6,80401
2012-09-09,26,8,0.0,11.6,5,31,12:09 AM,03:05 PM,06:37 AM,07:19 PM,-3,16,16,16,18,0,31,0.0,1020,26,10,187,11,80401
2012-09-10,27,12,0.0,11.6,5,24,01:03 AM,03:48 PM,06:38 AM,07:17 PM,-1,19,19,19,17,6,28,0.0,1014,27,10,184,10,80401
2012-09-11,26,12,0.0,11.6,5,16,02:00 AM,04:26 PM,06:39 AM,07:15 PM,3,18,18,18,16,33,38,1.8,1012,26,9,239,10,80401
2012-09-12,12,8,0.0,9.0,4,9,03:01 AM,05:02 PM,06:40 AM,07:14 PM,8,9,10,9,11,55,86,5.8,1021,12,10,108,8,80401
2012-09-13,18,4,0.0,11.6,4,1,04:04 AM,05:36 PM,06:40 AM,07:12 PM,2,11,11,11,9,15,60,0.0,1028,18,9,139,6,80401
2012-09-14,21,4,0.0,11.6,4,0,05:10 AM,06:08 PM,06:41 AM,07:10 PM,-3,13,13,13,13,0,34,0.0,1027,21,10,180,8,80401
2012-09-15,25,8,0.0,11.6,5,0,06:16 AM,06:40 PM,06:42 AM,07:09 PM,-4,16,16,16,17,2,28,0.0,1021,25,10,183,9,80401
2012-09-16,24,10,0.0,11.6,5,0,07:26 AM,07:14 PM,06:43 AM,07:07 PM,-5,16,17,16,18,9,24,0.0,1016,24,10,225,10,80401
2012-09-17,16,8,0.0,11.6,4,6,08:36 AM,07:50 PM,06:44 AM,07:05 PM,1,12,12,12,9,21,49,0.6,1019,16,10,109,6,80401
2012-09-18,22,5,0.0,11.6,4,14,09:48 AM,08:29 PM,06:45 AM,07:04 PM,-3,13,14,13,16,0,35,0.0,1020,22,10,182,9,80401
2012-09-19,23,10,0.0,11.6,5,21,10:59 AM,09:15 PM,06:46 AM,07:02 PM,-3,15,15,15,20,2,30,0.0,1019,23,10,174,12,80401
2012-09-20,23,9,0.0,11.6,5,29,12:08 PM,10:06 PM,06:47 AM,07:00 PM,-3,15,16,15,16,4,29,0.0,1018,23,10,169,10,80401
2012-09-21,23,7,0.0,11.6,4,36,01:12 PM,11:04 PM,06:48 AM,06:59 PM,-4,15,15,15,15,3,28,0.0,1019,23,10,179,9,80401
2012-09-22,23,5,0.0,11.6,4,44,02:08 PM,No moonset,06:49 AM,06:57 PM,2,16,16,16,9,3,43,0.0,1021,23,10,158,6,80401
2012-09-23,25,9,0.0,11.6,5,51,02:58 PM,12:06 AM,06:50 AM,06:55 PM,-3,16,17,16,16,16,29,0.0,1019,25,10,264,9,80401
2012-09-24,22,12,0.0,11.6,5,59,03:41 PM,01:11 AM,06:51 AM,06:54 PM,2,16,16,16,18,25,41,0.7,1015,22,10,264,10,80401
2012-09-25,17,7,0.0,11.6,4,66,04:18 PM,02:17 AM,06:52 AM,06:52 PM,3,12,12,12,12,21,56,0.8,1013,17,10,197,7,80401
2012-09-26,15,7,0.0,11.6,4,74,04:51 PM,03:22 AM,06:53 AM,06:50 PM,6,10,11,10,9,34,74,4.7,1017,15,9,96,6,80401
2012-09-27,15,5,0.0,11.6,3,82,05:22 PM,04:26 AM,06:54 AM,06:49 PM,5,10,10,10,8,21,74,2.0,1020,15,10,170,5,80401
2012-09-28,18,5,0.0,11.6,4,89,05:51 PM,05:29 AM,06:55 AM,06:47 PM,2,10,11,10,14,6,55,0.0,1020,18,10,187,9,80401
2012-09-29,21,6,0.0,11.6,4,97,06:20 PM,06:30 AM,06:56 AM,06:46 PM,-0,12,13,12,16,4,45,0.0,1018,21,10,181,10,80401
2012-09-30,18,7,0.0,11.6,4,100,06:50 PM,07:30 AM,06:57 AM,06:44 PM,1,12,13,12,17,10,44,0.8,1020,18,10,223,11,80401
2012-10-01,17,7,0.0,11.6,4,100,07:22 PM,08:29 AM,06:58 AM,06:42 PM,2,11,12,11,11,16,55,0.1,1022,17,10,162,7,80401
2012-10-02,23,7,0.0,11.6,4,85,07:56 PM,09:28 AM,06:59 AM,06:41 PM,-4,13,14,13,22,0,30,0.0,1015,23,10,254,11,80401
2012-10-03,23,4,0.0,11.4,4,78,08:34 PM,10:24 AM,07:00 AM,06:39 PM,-2,13,14,13,24,2,37,0.0,1012,23,10,205,15,80401
2012-10-04,11,0,0.0,11.4,2,70,09:16 PM,11:19 AM,07:01 AM,06:37 PM,-2,3,4,3,10,32,67,0.5,1022,11,10,106,8,80401
2012-10-05,10,-1,0.1,11.3,2,63,10:02 PM,12:10 PM,07:02 AM,06:36 PM,-4,1,3,1,11,21,61,0.1,1020,10,10,184,9,80401
2012-10-06,4,-5,0.0,11.3,2,56,10:53 PM,12:58 PM,07:03 AM,06:34 PM,-6,-3,-0,-3,11,26,68,0.0,1024,4,10,76,9,80401
2012-10-07,10,-5,0.0,11.3,2,49,11:48 PM,01:42 PM,07:04 AM,06:33 PM,-12,1,2,1,8,6,42,0.0,1021,10,10,167,4,80401
2012-10-08,18,0,0.0,11.3,3,41,No moonrise,02:21 PM,07:05 AM,06:31 PM,-15,5,8,5,26,1,20,0.0,1014,18,10,268,14,80401
2012-10-09,12,1,0.0,11.2,3,34,12:46 AM,02:58 PM,07:06 AM,06:30 PM,-6,5,7,5,20,2,42,0.0,1016,12,10,193,11,80401
2012-10-10,20,1,0.0,11.2,3,27,01:47 AM,03:32 PM,07:07 AM,06:28 PM,-3,8,9,8,13,13,49,0.0,1018,20,10,234,7,80401
2012-10-11,16,6,0.0,11.2,4,20,02:50 AM,04:04 PM,07:08 AM,06:27 PM,-1,9,10,9,19,9,47,0.1,1017,16,10,181,11,80401
2012-10-12,17,3,0.0,11.2,3,12,03:56 AM,04:35 PM,07:09 AM,06:25 PM,-1,8,9,8,14,11,51,0.2,1016,17,10,205,9,80401
2012-10-13,9,3,0.0,11.1,3,5,05:03 AM,05:09 PM,07:10 AM,06:24 PM,-1,4,6,4,23,29,62,0.9,1015,9,10,280,14,80401
2012-10-14,16,2,0.0,11.1,3,0,06:13 AM,05:44 PM,07:11 AM,06:22 PM,-1,8,9,8,13,6,55,0.0,1022,16,10,240,8,80401
2012-10-15,21,5,0.0,11.1,4,0,07:26 AM,06:22 PM,07:12 AM,06:21 PM,-4,10,12,10,24,4,36,0.0,1016,21,10,269,12,80401
2012-10-16,20,5,0.0,11.1,4,2,08:39 AM,07:07 PM,07:13 AM,06:19 PM,-2,10,12,10,26,13,42,0.2,1008,20,10,254,15,80401
2012-10-17,10,1,0.0,11.0,3,9,09:51 AM,07:58 PM,07:14 AM,06:18 PM,-8,2,5,2,28,6,43,0.0,1010,10,10,297,19,80401
2012-10-18,13,-3,0.0,11.0,2,17,11:00 AM,08:55 PM,07:15 AM,06:16 PM,-10,2,5,2,17,0,35,0.0,1019,13,10,230,10,80401
2012-10-19,19,1,0.0,11.0,3,24,12:01 PM,09:58 PM,07:16 AM,06:15 PM,-8,7,9,7,26,17,33,0.0,1015,19,10,271,14,80401
2012-10-20,21,7,0.0,11.0,4,31,12:55 PM,11:04 PM,07:17 AM,06:13 PM,-7,11,12,11,24,11,27,0.0,1008,21,10,227,12,80401
2012-10-21,18,5,0.0,10.9,4,38,01:40 PM,No moonset,07:18 AM,06:12 PM,-4,10,11,10,21,3,37,0.0,1008,18,10,176,12,80401
2012-10-22,18,3,0.0,10.9,3,46,02:19 PM,12:10 AM,07:19 AM,06:11 PM,-2,9,10,9,14,5,49,0.0,1009,18,10,225,8,80401
2012-10-23,19,5,0.0,10.9,4,53,02:53 PM,01:16 AM,07:20 AM,06:09 PM,-6,9,10,9,23,6,37,0.0,1006,19,10,243,14,80401
2012-10-24,13,1,0.0,10.1,3,60,03:25 PM,02:19 AM,07:22 AM,06:08 PM,-1,4,6,4,13,24,62,1.4,1009,13,10,207,9,80401
2012-10-25,0,-7,2.5,10.8,2,67,03:54 PM,03:22 AM,07:23 AM,06:07 PM,-5,-5,-3,-5,9,53,87,2.9,1023,0,7,97,7,80401
2012-10-26,1,-11,1.2,10.8,2,75,04:22 PM,04:22 AM,07:24 AM,06:06 PM,-7,-7,-4,-7,11,31,81,1.4,1031,1,7,207,7,80401
2012-10-27,6,-8,0.0,10.8,2,82,04:52 PM,05:22 AM,07:25 AM,06:04 PM,-7,-6,-2,-6,18,14,68,0.0,1023,6,10,271,10,80401
2012-10-28,12,-4,0.0,10.8,2,89,05:23 PM,06:21 AM,07:26 AM,06:03 PM,-3,-1,2,-1,25,6,69,0.0,1020,12,10,269,13,80401
2012-10-29,16,2,0.0,10.8,3,97,05:56 PM,07:20 AM,07:27 AM,06:02 PM,-3,6,8,6,23,8,52,0.0,1020,16,10,271,12,80401
2012-10-30,16,3,0.0,10.7,3,100,06:32 PM,08:16 AM,07:28 AM,06:01 PM,-4,7,9,7,18,9,42,0.0,1020,16,10,185,9,80401
2012-10-31,17,4,0.0,10.7,3,100,07:13 PM,09:12 AM,07:29 AM,06:00 PM,-5,8,9,8,17,1,40,0.0,1019,17,10,187,9,80401
2012-11-01,18,4,0.0,8.7,3,77,07:58 PM,10:04 AM,07:30 AM,05:58 PM,-7,8,10,8,17,15,34,0.0,1016,18,10,229,9,80401
2012-11-02,13,3,0.0,5.5,2,70,08:47 PM,10:53 AM,07:32 AM,05:57 PM,-9,7,8,7,15,43,30,0.0,1016,13,10,194,8,80401
2012-11-03,13,0,0.0,8.7,2,62,09:40 PM,11:38 AM,07:33 AM,05:56 PM,-8,4,6,4,14,4,38,0.0,1020,13,10,212,8,80401
2012-11-04,14,2,0.0,8.7,3,55,10:36 PM,12:18 PM,07:34 AM,05:55 PM,-7,4,6,4,22,12,40,0.0,1022,14,10,287,12,80401
2012-11-05,15,0,0.0,8.7,3,47,11:35 PM,12:55 PM,07:35 AM,05:54 PM,-3,5,7,5,19,5,51,0.0,1024,15,10,269,10,80401
2012-11-06,15,4,0.0,8.7,3,39,No moonrise,01:29 PM,07:36 AM,05:53 PM,-4,6,8,6,20,6,44,0.0,1023,15,10,210,10,80401
2012-11-07,19,4,0.0,8.7,3,32,12:35 AM,02:01 PM,07:37 AM,05:52 PM,-9,8,10,8,19,4,27,0.0,1017,19,10,201,9,80401
2012-11-08,14,3,0.0,8.7,3,24,01:37 AM,02:32 PM,07:38 AM,05:51 PM,-7,5,7,5,22,5,36,0.0,1012,14,10,233,12,80401
2012-11-09,14,1,0.0,8.7,3,17,02:41 AM,03:03 PM,07:40 AM,05:50 PM,-5,5,7,5,17,6,43,0.0,1005,14,10,226,9,80401
2012-11-10,5,-9,2.1,7.1,2,9,03:49 AM,03:37 PM,07:41 AM,05:49 PM,-5,-2,1,-2,23,23,67,3.3,1001,5,9,231,13,80401
2012-11-11,-4,-11,0.7,8.7,2,2,04:59 AM,04:13 PM,07:42 AM,05:48 PM,-13,-13,-8,-13,18,27,71,0.8,1022,-4,9,271,12,80401
2012-11-12,5,-12,0.0,8.7,2,0,06:11 AM,04:54 PM,07:43 AM,05:47 PM,-12,-9,-4,-9,28,3,56,0.0,1030,5,10,262,14,80401
2012-11-13,6,-4,0.0,8.7,2,0,07:25 AM,05:42 PM,07:44 AM,05:47 PM,-10,-3,-0,-3,18,12,49,0.0,1026,6,10,253,9,80401
2012-11-14,9,-5,0.0,8.7,2,0,08:37 AM,06:38 PM,07:45 AM,05:46 PM,-9,-2,1,-2,16,4,51,0.0,1025,9,10,228,8,80401
2012-11-15,5,-4,0.0,8.7,2,6,09:45 AM,07:41 PM,07:46 AM,05:45 PM,-8,-2,-0,-2,11,13,58,0.0,1028,5,10,226,6,80401
2012-11-16,12,-3,0.0,8.7,2,13,10:44 AM,08:48 PM,07:47 AM,05:44 PM,-10,-0,3,-0,20,6,40,0.0,1023,12,10,208,10,80401
2012-11-17,12,0,0.0,8.7,2,21,11:35 AM,09:57 PM,07:49 AM,05:44 PM,-4,2,5,2,19,4,55,0.0,1018,12,10,190,10,80401
2012-11-18,11,0,0.0,8.7,2,28,12:17 PM,11:06 PM,07:50 AM,05:43 PM,-5,2,4,2,24,3,51,0.0,1017,11,10,257,12,80401
2012-11-19,10,0,0.0,7.0,2,36,12:54 PM,No moonset,07:51 AM,05:42 PM,-6,1,4,1,21,13,52,0.0,1023,10,10,264,11,80401
2012-11-20,14,0,0.0,8.7,3,43,01:27 PM,12:11 AM,07:52 AM,05:42 PM,-7,4,6,4,19,3,41,0.0,1023,14,10,225,9,80401
2012-11-21,16,3,0.0,8.7,3,51,01:57 PM,01:15 AM,07:53 AM,05:41 PM,-9,5,7,5,23,17,33,0.0,1016,16,10,245,11,80401
2012-11-22,10,-0,0.0,8.7,2,58,02:26 PM,02:16 AM,07:54 AM,05:41 PM,-8,3,5,3,20,2,40,0.0,1020,10,10,187,10,80401
2012-11-23,9,-4,0.0,8.7,2,66,02:55 PM,03:16 AM,07:55 AM,05:40 PM,-12,1,2,1,12,1,37,0.0,1031,9,10,236,7,80401
2012-11-24,14,-0,0.0,5.4,2,74,03:25 PM,04:15 AM,07:56 AM,05:40 PM,-14,2,5,2,32,39,24,0.0,1020,14,10,261,17,80401
2012-11-25,12,-0,0.0,8.7,2,81,03:57 PM,05:13 AM,07:57 AM,05:39 PM,-13,2,5,2,24,2,29,0.0,1013,12,10,276,12,80401
2012-11-26,3,-4,0.0,8.7,2,89,04:32 PM,06:10 AM,07:58 AM,05:39 PM,-9,-4,-2,-4,12,8,59,0.0,1024,3,10,202,7,80401
2012-11-27,12,-5,0.0,8.7,2,96,05:11 PM,07:06 AM,07:59 AM,05:38 PM,-19,-2,2,-2,28,17,21,0.0,1024,12,10,259,15,80401
2012-11-28,11,-2,0.0,8.7,2,100,05:55 PM,08:00 AM,08:00 AM,05:38 PM,-16,1,3,1,19,25,24,0.0,1022,11,10,254,10,80401
2012-11-29,12,1,0.0,8.7,2,89,06:43 PM,08:50 AM,08:01 AM,05:38 PM,-7,3,5,3,21,7,43,0.0,1017,12,10,242,10,80401
2012-11-30,13,0,0.0,8.7,2,81,07:35 PM,09:36 AM,08:02 AM,05:37 PM,-6,3,5,3,16,8,47,0.0,1016,13,10,255,8,80401
2012-12-01,12,1,0.0,8.7,3,78,08:30 PM,10:18 AM,08:03 AM,05:37 PM,-5,3,6,3,20,4,49,0.0,1014,12,10,251,11,80401
